alpha,beta,run,hit_rate,cwhr,savings_dollar,latency_ms
1.5,1.0,3,0.422,0.40750556718531494,0.5982088000000017,147.66110137640004
1.5,1.0,4,0.4342,0.41549699542093155,0.7327634999999891,144.4382217412812
1.5,1.0,5,0.444,0.4041678010890855,0.687390549999996,142.26953404795591
1.5,1.0,6,0.4296,0.5400944356877242,1.1045447000000066,145.48413675228426
1.5,1.0,7,0.4502,0.46339274336575625,0.9125644499999999,141.26699543564365
1.5,1.0,8,0.4294,0.5496632059746875,1.1425176000000175,145.92225598235268
1.5,1.0,9,0.4394,0.5241407802231381,1.0754764999999917,142.54781444434315
1.5,1.5,0,0.4058,0.6069960287040967,1.1784107999999973,150.64741638394494
1.5,1.5,1,0.4308,0.5783018945461897,1.0835730500000036,145.41217840916752
1.5,1.5,2,0.3932,0.4935441803208343,0.7611120999999982,154.55497480626778
1.5,1.5,3,0.3996,0.5068990181726271,0.7441161000000043,152.98664398300343
1.5,1.5,4,0.4184,0.5200248709566019,0.9171070999999964,148.34723999170404
1.5,1.5,5,0.4062,0.4848950497201144,0.8246878499999982,151.3571896355828
1.5,1.5,6,0.3954,0.6160095702132273,1.2597984000000078,153.77114359353502
1.5,1.5,7,0.4092,0.5508526192446842,1.0848001500000015,151.21964297287923
1.5,1.5,8,0.3792,0.6119775516674918,1.2720428000000203,157.83143475899996
1.5,1.5,9,0.4056,0.5985052864566254,1.2280638999999884,150.64158182774722
1.5,2.0,0,0.3688,0.6455708548562392,1.2532992500000002,159.6724702491779
1.5,2.0,1,0.3994,0.6152450222958072,1.152793950000004,153.03672106457668
1.5,2.0,2,0.3372,0.5372635495047542,0.8285333000000011,168.15319789426795
1.5,2.0,3,0.3758,0.5573675200633245,0.8182027000000051,158.73054005056397
1.5,2.0,4,0.3814,0.5711309954395924,1.007237000000002,157.57400237759086
1.5,2.0,5,0.3634,0.5274641352737758,0.8970874499999952,161.85598098855039
1.5,2.0,6,0.3534,0.649992897642192,1.3292975500000104,164.25260908370245
1.5,2.0,7,0.368,0.5913187761780955,1.1644906000000024,161.2417775464274
1.5,2.0,8,0.3378,0.6463500243231324,1.3434886500000243,167.7436651765211
1.5,2.0,9,0.3774,0.6351538107792388,1.303262449999989,157.17034850806823
2.0,0.0,0,0.4152,0.35863481024387517,0.6962469499999874,148.650634737424
2.0,0.0,1,0.4264,0.2830749838609353,0.5304018999999944,146.633065864348
2.0,0.0,2,0.4248,0.3042535102455627,0.46920019999999935,146.71162215822125
2.0,0.0,3,0.4212,0.2639275002265,0.3874394999999997,147.68860392428473
2.0,0.0,4,0.4106,0.2326186604810757,0.41024235000000003,150.20143132428694
2.0,0.0,5,0.4154,0.15905312307264122,0.27051045000000223,148.85424684275029
2.0,0.0,6,0.4114,0.36504322169795644,0.7465482499999947,149.9777923934188
2.0,0.0,7,0.421,0.17282612617239976,0.34034840000000166,148.8519315389786
2.0,0.0,8,0.4328,0.42957163181137703,0.8928979499999988,144.75211076280095
2.0,0.0,9,0.4252,0.32544936245933764,0.6677846000000017,145.79736647010589
2.0,0.5,0,0.4402,0.44648702207613217,0.8668015999999907,142.49779034530715
2.0,0.5,1,0.4488,0.3990677451941393,0.7477392999999931,141.22858590083882
2.0,0.5,2,0.4404,0.3519727868306252,0.5427897999999985,143.0559146971759
2.0,0.5,3,0.4376,0.33771881303317197,0.49576345000000044,143.82436356966704
2.0,0.5,4,0.439,0.31717554684052607,0.5593654499999929,143.33647930482783
2.0,0.5,5,0.449,0.3337451209546391,0.567618799999998,141.06272025381938
2.0,0.5,6,0.4414,0.4557384484000864,0.9320286500000009,142.5558634773336
2.0,0.5,7,0.456,0.3567861460991611,0.7026228999999936,139.9536526233673
2.0,0.5,8,0.448,0.4851894989436415,1.0085040000000074,141.35295823677498
2.0,0.5,9,0.449,0.4439373253313267,0.9109082499999991,140.14227596846004
2.0,1.0,0,0.4452,0.5341951869941665,1.0370765999999947,141.11203417260762
2.0,1.0,1,0.4558,0.5131968561710941,0.9615847500000022,139.26179104289267
2.0,1.0,2,0.4392,0.4356900952361032,0.6718932499999967,143.3710945917571
2.0,1.0,3,0.4324,0.43285831453762397,0.6354260500000024,145.21815008053179
2.0,1.0,4,0.4396,0.422377192705647,0.7448972999999892,142.9706112493019
2.0,1.0,5,0.45,0.4025033641669848,0.6845597499999957,140.6696289119433
2.0,1.0,6,0.4396,0.5375682211417531,1.0993783500000063,142.97987385393512
2.0,1.0,7,0.4516,0.44732994312909413,0.8809317999999984,140.96187761816228
2.0,1.0,8,0.4322,0.552161188308808,1.147709850000017,145.19417942704942
2.0,1.0,9,0.4414,0.5287326559463751,1.0848984999999907,141.9235882107434
2.0,1.5,0,0.4208,0.607685434711592,1.1797491999999967,147.1674682683287
2.0,1.5,1,0.439,0.5867930195581447,1.0994830000000038,143.5062134805168
2.0,1.5,2,0.4024,0.4956380946242246,0.7643411999999971,152.46589379677013
2.0,1.5,3,0.4062,0.5148749946354739,0.7558246500000049,151.40074206750427
2.0,1.5,4,0.4244,0.5113416682394515,0.9017935499999955,146.87458058071698
2.0,1.5,5,0.414,0.4845338866639465,0.8240735999999982,149.33187026391957
2.0,1.5,6,0.408,0.6245842553562941,1.2773344500000108,150.86461501766328
2.0,1.5,7,0.4174,0.5525134792698185,1.0880709000000017,149.24751642155246
2.0,1.5,8,0.3916,0.6092583122530183,1.2663906500000204,154.63026901422208
2.0,1.5,9,0.4096,0.6024743932992704,1.236208049999988,149.60563185989096
2.0,2.0,0,0.3792,0.6393687247647487,1.24125855,157.14041549360402
2.0,2.0,1,0.4214,0.6126270950889404,1.1478887000000042,147.8931712008728
2.0,2.0,2,0.3446,0.5336780673711131,0.8230040000000011,166.43784433087404
2.0,2.0,3,0.382,0.5510636065823912,0.808948700000005,157.24571419635922
2.0,2.0,4,0.3928,0.5720127514259773,1.0087920500000018,154.796850729013
2.0,2.0,5,0.3832,0.5328484487789482,0.9062448499999944,156.89887320033822
2.0,2.0,6,0.366,0.6509834626304778,1.331323350000011,161.29900574642141
2.0,2.0,7,0.39,0.5906915771381058,1.1632554500000014,155.78886733003995
2.0,2.0,8,0.3618,0.6506089705433489,1.3523412000000234,161.77667562987776
2.0,2.0,9,0.395,0.6404754058317478,1.3141817499999873,152.9993674145278
